靡ㄩ絏	虏嘿	るら	Μ絃基(じ)
M2300  	筿摸计   	19990610	   331.6400
M2300  	筿摸计   	19990611	   322.2200
M2300  	筿摸计   	19990614	   325.9400
M2300  	筿摸计   	19990615	   331.7400
M2300  	筿摸计   	19990616	   341.8500
M2300  	筿摸计   	19990617	   357.0700
M2300  	筿摸计   	19990621	   360.3700
M2300  	筿摸计   	19990622	   375.2100
M2300  	筿摸计   	19990623	   368.1300
M2300  	筿摸计   	19990624	   376.1300
M2300  	筿摸计   	19990625	   357.7200
M2300  	筿摸计   	19990628	   358.5100
M2300  	筿摸计   	19990629	   376.1100
M2300  	筿摸计   	19990630	   377.1300
M2300  	筿摸计   	19990702	   385.5200
M2300  	筿摸计   	19990703	   382.5800
M2300  	筿摸计   	19990705	   377.9800
M2300  	筿摸计   	19990706	   373.5500
M2300  	筿摸计   	19990707	   374.9400
M2300  	筿摸计   	19990708	   383.9700
M2300  	筿摸计   	19990709	   381.8500
M2300  	筿摸计   	19990712	   381.3900
M2300  	筿摸计   	19990713	   369.0400
M2300  	筿摸计   	19990714	   349.9300
M2300  	筿摸计   	19990715	   350.1600
M2300  	筿摸计   	19990716	   328.1200
M2300  	筿摸计   	19990717	   335.2400
M2300  	筿摸计   	19990719	   336.9400
M2300  	筿摸计   	19990720	   356.0500
M2300  	筿摸计   	19990721	   358.6500
M2300  	筿摸计   	19990722	   352.5800
M2300  	筿摸计   	19990723	   351.0900
M2300  	筿摸计   	19990726	   343.1300
M2300  	筿摸计   	19990727	   328.4200
M2300  	筿摸计   	19990728	   334.1300
M2300  	筿摸计   	19990729	   327.8000
M2300  	筿摸计   	19990730	   331.5500
M2300  	筿摸计   	19990731	   325.9300
M2300  	筿摸计   	19990802	   316.3700
M2300  	筿摸计   	19990803	   315.9700
M2300  	筿摸计   	19990804	   311.4900
M2300  	筿摸计   	19990805	   308.3200
M2300  	筿摸计   	19990806	   305.7000
M2300  	筿摸计   	19990807	   320.2700
M2300  	筿摸计   	19990809	   319.9800
M2300  	筿摸计   	19990810	   333.7300
M2300  	筿摸计   	19990811	   335.8700
M2300  	筿摸计   	19990812	   338.0800
M2300  	筿摸计   	19990813	   350.8900
M2300  	筿摸计   	19990816	   369.3500
M2300  	筿摸计   	19990817	   370.2200
M2300  	筿摸计   	19990818	   362.3500
M2300  	筿摸计   	19990819	   365.6800
M2300  	筿摸计   	19990820	   374.4200
M2300  	筿摸计   	19990821	   367.9400
M2300  	筿摸计   	19990823	   367.1500
M2300  	筿摸计   	19990824	   362.5400
M2300  	筿摸计   	19990825	   372.2300
M2300  	筿摸计   	19990826	   370.5900
M2300  	筿摸计   	19990827	   369.9900
M2300  	筿摸计   	19990830	   371.8000
M2300  	筿摸计   	19990831	   377.9200
